id,category,title,visualType,visualItem,operandA,operandB,operator,correctAnswer,timerSeconds,optionsText,explanation
"q_math_penjumlahan_16","penjumlahan","Berapakah jumlah semua 🦖 jika digabungkan?","emoji","🦖",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_17","penjumlahan","Berapakah jumlah semua ⚽ jika digabungkan?","emoji","⚽",5,1,"+",6,20,"","5 ditambah 1 hasilnya adalah 6!"
"q_math_penjumlahan_18","penjumlahan","Berapakah jumlah semua 🍪 jika digabungkan?","emoji","🍪",8,1,"+",9,20,"","8 ditambah 1 hasilnya adalah 9!"
"q_math_penjumlahan_19","penjumlahan","Berapakah jumlah semua 🍌 jika digabungkan?","emoji","🍌",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_20","penjumlahan","Berapakah jumlah semua 🍭 jika digabungkan?","emoji","🍭",4,4,"+",8,20,"","4 ditambah 4 hasilnya adalah 8!"
"q_math_penjumlahan_21","penjumlahan","Berapakah jumlah semua 🍕 jika digabungkan?","emoji","🍕",4,1,"+",5,20,"","4 ditambah 1 hasilnya adalah 5!"
"q_math_penjumlahan_22","penjumlahan","Berapakah jumlah semua 🦁 jika digabungkan?","emoji","🦁",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_23","penjumlahan","Berapakah jumlah semua 🍇 jika digabungkan?","emoji","🍇",1,5,"+",6,20,"","1 ditambah 5 hasilnya adalah 6!"
"q_math_penjumlahan_24","penjumlahan","Berapakah jumlah semua 🐞 jika digabungkan?","emoji","🐞",2,3,"+",5,20,"","2 ditambah 3 hasilnya adalah 5!"
"q_math_penjumlahan_25","penjumlahan","Berapakah jumlah semua 🛸 jika digabungkan?","emoji","🛸",3,1,"+",4,20,"","3 ditambah 1 hasilnya adalah 4!"
"q_math_penjumlahan_26","penjumlahan","Berapakah jumlah semua 🐧 jika digabungkan?","emoji","🐧",5,4,"+",9,20,"","5 ditambah 4 hasilnya adalah 9!"
"q_math_penjumlahan_27","penjumlahan","Berapakah jumlah semua 🧸 jika digabungkan?","emoji","🧸",1,3,"+",4,20,"","1 ditambah 3 hasilnya adalah 4!"
"q_math_penjumlahan_28","penjumlahan","Berapakah jumlah semua 🐬 jika digabungkan?","emoji","🐬",5,3,"+",8,20,"","5 ditambah 3 hasilnya adalah 8!"
"q_math_penjumlahan_29","penjumlahan","Berapakah jumlah semua 🍟 jika digabungkan?","emoji","🍟",4,3,"+",7,20,"","4 ditambah 3 hasilnya adalah 7!"
"q_math_penjumlahan_30","penjumlahan","Berapakah jumlah semua 🍎 jika digabungkan?","emoji","🍎",3,2,"+",5,20,"","3 ditambah 2 hasilnya adalah 5!"
"q_math_penjumlahan_31","penjumlahan","Berapakah jumlah semua 🎈 jika digabungkan?","emoji","🎈",1,2,"+",3,20,"","1 ditambah 2 hasilnya adalah 3!"
"q_math_penjumlahan_32","penjumlahan","Berapakah jumlah semua ⭐️ jika digabungkan?","emoji","⭐️",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
"q_math_penjumlahan_33","penjumlahan","Berapakah jumlah semua 🍩 jika digabungkan?","emoji","🍩",4,4,"+",8,20,"","4 ditambah 4 hasilnya adalah 8!"
"q_math_penjumlahan_34","penjumlahan","Berapakah jumlah semua 🚗 jika digabungkan?","emoji","🚗",2,3,"+",5,20,"","2 ditambah 3 hasilnya adalah 5!"
"q_math_penjumlahan_35","penjumlahan","Berapakah jumlah semua 🐰 jika digabungkan?","emoji","🐰",2,4,"+",6,20,"","2 ditambah 4 hasilnya adalah 6!"
"q_math_penjumlahan_36","penjumlahan","Berapakah jumlah semua 🍬 jika digabungkan?","emoji","🍬",1,7,"+",8,20,"","1 ditambah 7 hasilnya adalah 8!"
"q_math_penjumlahan_37","penjumlahan","Berapakah jumlah semua 🐥 jika digabungkan?","emoji","🐥",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_38","penjumlahan","Berapakah jumlah semua 🍦 jika digabungkan?","emoji","🍦",5,1,"+",6,20,"","5 ditambah 1 hasilnya adalah 6!"
"q_math_penjumlahan_39","penjumlahan","Berapakah jumlah semua 🌸 jika digabungkan?","emoji","🌸",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_40","penjumlahan","Berapakah jumlah semua 🍓 jika digabungkan?","emoji","🍓",1,5,"+",6,20,"","1 ditambah 5 hasilnya adalah 6!"
"q_math_penjumlahan_41","penjumlahan","Berapakah jumlah semua 🐢 jika digabungkan?","emoji","🐢",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_42","penjumlahan","Berapakah jumlah semua 🚀 jika digabungkan?","emoji","🚀",3,5,"+",8,20,"","3 ditambah 5 hasilnya adalah 8!"
"q_math_penjumlahan_43","penjumlahan","Berapakah jumlah semua 🐼 jika digabungkan?","emoji","🐼",1,2,"+",3,20,"","1 ditambah 2 hasilnya adalah 3!"
"q_math_penjumlahan_44","penjumlahan","Berapakah jumlah semua 🍰 jika digabungkan?","emoji","🍰",3,3,"+",6,20,"","3 ditambah 3 hasilnya adalah 6!"
"q_math_penjumlahan_45","penjumlahan","Berapakah jumlah semua 🐱 jika digabungkan?","emoji","🐱",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_46","penjumlahan","Berapakah jumlah semua 🦖 jika digabungkan?","emoji","🦖",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_47","penjumlahan","Berapakah jumlah semua ⚽ jika digabungkan?","emoji","⚽",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_48","penjumlahan","Berapakah jumlah semua 🍪 jika digabungkan?","emoji","🍪",2,6,"+",8,20,"","2 ditambah 6 hasilnya adalah 8!"
"q_math_penjumlahan_49","penjumlahan","Berapakah jumlah semua 🍌 jika digabungkan?","emoji","🍌",3,3,"+",6,20,"","3 ditambah 3 hasilnya adalah 6!"
"q_math_penjumlahan_50","penjumlahan","Berapakah jumlah semua 🍭 jika digabungkan?","emoji","🍭",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_51","penjumlahan","Berapakah jumlah semua 🍕 jika digabungkan?","emoji","🍕",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_52","penjumlahan","Berapakah jumlah semua 🦁 jika digabungkan?","emoji","🦁",3,5,"+",8,20,"","3 ditambah 5 hasilnya adalah 8!"
"q_math_penjumlahan_53","penjumlahan","Berapakah jumlah semua 🍇 jika digabungkan?","emoji","🍇",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_54","penjumlahan","Berapakah jumlah semua 🐞 jika digabungkan?","emoji","🐞",4,2,"+",6,20,"","4 ditambah 2 hasilnya adalah 6!"
"q_math_penjumlahan_55","penjumlahan","Berapakah jumlah semua 🛸 jika digabungkan?","emoji","🛸",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_56","penjumlahan","Berapakah jumlah semua 🐧 jika digabungkan?","emoji","🐧",1,7,"+",8,20,"","1 ditambah 7 hasilnya adalah 8!"
"q_math_penjumlahan_57","penjumlahan","Berapakah jumlah semua 🧸 jika digabungkan?","emoji","🧸",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_58","penjumlahan","Berapakah jumlah semua 🐬 jika digabungkan?","emoji","🐬",4,3,"+",7,20,"","4 ditambah 3 hasilnya adalah 7!"
"q_math_penjumlahan_59","penjumlahan","Berapakah jumlah semua 🍟 jika digabungkan?","emoji","🍟",5,3,"+",8,20,"","5 ditambah 3 hasilnya adalah 8!"
"q_math_penjumlahan_60","penjumlahan","Berapakah jumlah semua 🍎 jika digabungkan?","emoji","🍎",1,2,"+",3,20,"","1 ditambah 2 hasilnya adalah 3!"
"q_math_penjumlahan_61","penjumlahan","Berapakah jumlah semua 🎈 jika digabungkan?","emoji","🎈",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_62","penjumlahan","Berapakah jumlah semua ⭐️ jika digabungkan?","emoji","⭐️",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_63","penjumlahan","Berapakah jumlah semua 🍩 jika digabungkan?","emoji","🍩",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_64","penjumlahan","Berapakah jumlah semua 🚗 jika digabungkan?","emoji","🚗",1,2,"+",3,20,"","1 ditambah 2 hasilnya adalah 3!"
"q_math_penjumlahan_65","penjumlahan","Berapakah jumlah semua 🐰 jika digabungkan?","emoji","🐰",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_66","penjumlahan","Berapakah jumlah semua 🍬 jika digabungkan?","emoji","🍬",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_67","penjumlahan","Berapakah jumlah semua 🐥 jika digabungkan?","emoji","🐥",3,4,"+",7,20,"","3 ditambah 4 hasilnya adalah 7!"
"q_math_penjumlahan_68","penjumlahan","Berapakah jumlah semua 🍦 jika digabungkan?","emoji","🍦",1,6,"+",7,20,"","1 ditambah 6 hasilnya adalah 7!"
"q_math_penjumlahan_69","penjumlahan","Berapakah jumlah semua 🌸 jika digabungkan?","emoji","🌸",3,2,"+",5,20,"","3 ditambah 2 hasilnya adalah 5!"
"q_math_penjumlahan_70","penjumlahan","Berapakah jumlah semua 🍓 jika digabungkan?","emoji","🍓",7,2,"+",9,20,"","7 ditambah 2 hasilnya adalah 9!"
"q_math_penjumlahan_71","penjumlahan","Berapakah jumlah semua 🐢 jika digabungkan?","emoji","🐢",4,2,"+",6,20,"","4 ditambah 2 hasilnya adalah 6!"
"q_math_penjumlahan_72","penjumlahan","Berapakah jumlah semua 🚀 jika digabungkan?","emoji","🚀",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
"q_math_penjumlahan_73","penjumlahan","Berapakah jumlah semua 🐼 jika digabungkan?","emoji","🐼",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_74","penjumlahan","Berapakah jumlah semua 🍰 jika digabungkan?","emoji","🍰",2,1,"+",3,20,"","2 ditambah 1 hasilnya adalah 3!"
"q_math_penjumlahan_75","penjumlahan","Berapakah jumlah semua 🐱 jika digabungkan?","emoji","🐱",1,3,"+",4,20,"","1 ditambah 3 hasilnya adalah 4!"
"q_math_penjumlahan_76","penjumlahan","Berapakah jumlah semua 🦖 jika digabungkan?","emoji","🦖",1,3,"+",4,20,"","1 ditambah 3 hasilnya adalah 4!"
"q_math_penjumlahan_77","penjumlahan","Berapakah jumlah semua ⚽ jika digabungkan?","emoji","⚽",8,1,"+",9,20,"","8 ditambah 1 hasilnya adalah 9!"
"q_math_penjumlahan_78","penjumlahan","Berapakah jumlah semua 🍪 jika digabungkan?","emoji","🍪",2,5,"+",7,20,"","2 ditambah 5 hasilnya adalah 7!"
"q_math_penjumlahan_79","penjumlahan","Berapakah jumlah semua 🍌 jika digabungkan?","emoji","🍌",6,3,"+",9,20,"","6 ditambah 3 hasilnya adalah 9!"
"q_math_penjumlahan_80","penjumlahan","Berapakah jumlah semua 🍭 jika digabungkan?","emoji","🍭",3,6,"+",9,20,"","3 ditambah 6 hasilnya adalah 9!"
"q_math_penjumlahan_81","penjumlahan","Berapakah jumlah semua 🍕 jika digabungkan?","emoji","🍕",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_82","penjumlahan","Berapakah jumlah semua 🦁 jika digabungkan?","emoji","🦁",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_83","penjumlahan","Berapakah jumlah semua 🍇 jika digabungkan?","emoji","🍇",3,6,"+",9,20,"","3 ditambah 6 hasilnya adalah 9!"
"q_math_penjumlahan_84","penjumlahan","Berapakah jumlah semua 🐞 jika digabungkan?","emoji","🐞",4,5,"+",9,20,"","4 ditambah 5 hasilnya adalah 9!"
"q_math_penjumlahan_85","penjumlahan","Berapakah jumlah semua 🛸 jika digabungkan?","emoji","🛸",4,1,"+",5,20,"","4 ditambah 1 hasilnya adalah 5!"
"q_math_penjumlahan_86","penjumlahan","Berapakah jumlah semua 🐧 jika digabungkan?","emoji","🐧",4,5,"+",9,20,"","4 ditambah 5 hasilnya adalah 9!"
"q_math_penjumlahan_87","penjumlahan","Berapakah jumlah semua 🧸 jika digabungkan?","emoji","🧸",2,1,"+",3,20,"","2 ditambah 1 hasilnya adalah 3!"
"q_math_penjumlahan_88","penjumlahan","Berapakah jumlah semua 🐬 jika digabungkan?","emoji","🐬",4,3,"+",7,20,"","4 ditambah 3 hasilnya adalah 7!"
"q_math_penjumlahan_89","penjumlahan","Berapakah jumlah semua 🍟 jika digabungkan?","emoji","🍟",4,2,"+",6,20,"","4 ditambah 2 hasilnya adalah 6!"
"q_math_penjumlahan_90","penjumlahan","Berapakah jumlah semua 🍎 jika digabungkan?","emoji","🍎",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_91","penjumlahan","Berapakah jumlah semua 🎈 jika digabungkan?","emoji","🎈",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_92","penjumlahan","Berapakah jumlah semua ⭐️ jika digabungkan?","emoji","⭐️",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_93","penjumlahan","Berapakah jumlah semua 🍩 jika digabungkan?","emoji","🍩",3,1,"+",4,20,"","3 ditambah 1 hasilnya adalah 4!"
"q_math_penjumlahan_94","penjumlahan","Berapakah jumlah semua 🚗 jika digabungkan?","emoji","🚗",2,4,"+",6,20,"","2 ditambah 4 hasilnya adalah 6!"
"q_math_penjumlahan_95","penjumlahan","Berapakah jumlah semua 🐰 jika digabungkan?","emoji","🐰",5,3,"+",8,20,"","5 ditambah 3 hasilnya adalah 8!"
"q_math_penjumlahan_96","penjumlahan","Berapakah jumlah semua 🍬 jika digabungkan?","emoji","🍬",1,8,"+",9,20,"","1 ditambah 8 hasilnya adalah 9!"
"q_math_penjumlahan_97","penjumlahan","Berapakah jumlah semua 🐥 jika digabungkan?","emoji","🐥",1,6,"+",7,20,"","1 ditambah 6 hasilnya adalah 7!"
"q_math_penjumlahan_98","penjumlahan","Berapakah jumlah semua 🍦 jika digabungkan?","emoji","🍦",4,3,"+",7,20,"","4 ditambah 3 hasilnya adalah 7!"
"q_math_penjumlahan_99","penjumlahan","Berapakah jumlah semua 🌸 jika digabungkan?","emoji","🌸",1,2,"+",3,20,"","1 ditambah 2 hasilnya adalah 3!"
"q_math_penjumlahan_100","penjumlahan","Berapakah jumlah semua 🍓 jika digabungkan?","emoji","🍓",1,2,"+",3,20,"","1 ditambah 2 hasilnya adalah 3!"
"q_math_penjumlahan_101","penjumlahan","Berapakah jumlah semua 🐢 jika digabungkan?","emoji","🐢",6,2,"+",8,20,"","6 ditambah 2 hasilnya adalah 8!"
"q_math_penjumlahan_102","penjumlahan","Berapakah jumlah semua 🚀 jika digabungkan?","emoji","🚀",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_103","penjumlahan","Berapakah jumlah semua 🐼 jika digabungkan?","emoji","🐼",2,5,"+",7,20,"","2 ditambah 5 hasilnya adalah 7!"
"q_math_penjumlahan_104","penjumlahan","Berapakah jumlah semua 🍰 jika digabungkan?","emoji","🍰",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_105","penjumlahan","Berapakah jumlah semua 🐱 jika digabungkan?","emoji","🐱",2,1,"+",3,20,"","2 ditambah 1 hasilnya adalah 3!"
"q_math_penjumlahan_106","penjumlahan","Berapakah jumlah semua 🦖 jika digabungkan?","emoji","🦖",4,2,"+",6,20,"","4 ditambah 2 hasilnya adalah 6!"
"q_math_penjumlahan_107","penjumlahan","Berapakah jumlah semua ⚽ jika digabungkan?","emoji","⚽",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_108","penjumlahan","Berapakah jumlah semua 🍪 jika digabungkan?","emoji","🍪",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_109","penjumlahan","Berapakah jumlah semua 🍌 jika digabungkan?","emoji","🍌",5,1,"+",6,20,"","5 ditambah 1 hasilnya adalah 6!"
"q_math_penjumlahan_110","penjumlahan","Berapakah jumlah semua 🍭 jika digabungkan?","emoji","🍭",1,3,"+",4,20,"","1 ditambah 3 hasilnya adalah 4!"
"q_math_penjumlahan_111","penjumlahan","Berapakah jumlah semua 🍕 jika digabungkan?","emoji","🍕",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_112","penjumlahan","Berapakah jumlah semua 🦁 jika digabungkan?","emoji","🦁",3,1,"+",4,20,"","3 ditambah 1 hasilnya adalah 4!"
"q_math_penjumlahan_113","penjumlahan","Berapakah jumlah semua 🍇 jika digabungkan?","emoji","🍇",3,3,"+",6,20,"","3 ditambah 3 hasilnya adalah 6!"
"q_math_penjumlahan_114","penjumlahan","Berapakah jumlah semua 🐞 jika digabungkan?","emoji","🐞",3,3,"+",6,20,"","3 ditambah 3 hasilnya adalah 6!"
"q_math_penjumlahan_115","penjumlahan","Berapakah jumlah semua 🛸 jika digabungkan?","emoji","🛸",4,1,"+",5,20,"","4 ditambah 1 hasilnya adalah 5!"
"q_math_penjumlahan_116","penjumlahan","Berapakah jumlah semua 🐧 jika digabungkan?","emoji","🐧",2,1,"+",3,20,"","2 ditambah 1 hasilnya adalah 3!"
"q_math_penjumlahan_117","penjumlahan","Berapakah jumlah semua 🧸 jika digabungkan?","emoji","🧸",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
"q_math_penjumlahan_118","penjumlahan","Berapakah jumlah semua 🐬 jika digabungkan?","emoji","🐬",1,3,"+",4,20,"","1 ditambah 3 hasilnya adalah 4!"
"q_math_penjumlahan_119","penjumlahan","Berapakah jumlah semua 🍟 jika digabungkan?","emoji","🍟",5,4,"+",9,20,"","5 ditambah 4 hasilnya adalah 9!"
"q_math_penjumlahan_120","penjumlahan","Berapakah jumlah semua 🍎 jika digabungkan?","emoji","🍎",5,2,"+",7,20,"","5 ditambah 2 hasilnya adalah 7!"
"q_math_penjumlahan_121","penjumlahan","Berapakah jumlah semua 🎈 jika digabungkan?","emoji","🎈",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
"q_math_penjumlahan_122","penjumlahan","Berapakah jumlah semua ⭐️ jika digabungkan?","emoji","⭐️",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_123","penjumlahan","Berapakah jumlah semua 🍩 jika digabungkan?","emoji","🍩",1,6,"+",7,20,"","1 ditambah 6 hasilnya adalah 7!"
"q_math_penjumlahan_124","penjumlahan","Berapakah jumlah semua 🚗 jika digabungkan?","emoji","🚗",7,2,"+",9,20,"","7 ditambah 2 hasilnya adalah 9!"
"q_math_penjumlahan_125","penjumlahan","Berapakah jumlah semua 🐰 jika digabungkan?","emoji","🐰",6,2,"+",8,20,"","6 ditambah 2 hasilnya adalah 8!"
"q_math_penjumlahan_126","penjumlahan","Berapakah jumlah semua 🍬 jika digabungkan?","emoji","🍬",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
"q_math_penjumlahan_127","penjumlahan","Berapakah jumlah semua 🐥 jika digabungkan?","emoji","🐥",5,1,"+",6,20,"","5 ditambah 1 hasilnya adalah 6!"
"q_math_penjumlahan_128","penjumlahan","Berapakah jumlah semua 🍦 jika digabungkan?","emoji","🍦",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_129","penjumlahan","Berapakah jumlah semua 🌸 jika digabungkan?","emoji","🌸",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
"q_math_penjumlahan_130","penjumlahan","Berapakah jumlah semua 🍓 jika digabungkan?","emoji","🍓",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_131","penjumlahan","Berapakah jumlah semua 🐢 jika digabungkan?","emoji","🐢",5,2,"+",7,20,"","5 ditambah 2 hasilnya adalah 7!"
"q_math_penjumlahan_132","penjumlahan","Berapakah jumlah semua 🚀 jika digabungkan?","emoji","🚀",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_133","penjumlahan","Berapakah jumlah semua 🐼 jika digabungkan?","emoji","🐼",4,1,"+",5,20,"","4 ditambah 1 hasilnya adalah 5!"
"q_math_penjumlahan_134","penjumlahan","Berapakah jumlah semua 🍰 jika digabungkan?","emoji","🍰",3,2,"+",5,20,"","3 ditambah 2 hasilnya adalah 5!"
"q_math_penjumlahan_135","penjumlahan","Berapakah jumlah semua 🐱 jika digabungkan?","emoji","🐱",1,5,"+",6,20,"","1 ditambah 5 hasilnya adalah 6!"
"q_math_penjumlahan_136","penjumlahan","Berapakah jumlah semua 🦖 jika digabungkan?","emoji","🦖",5,2,"+",7,20,"","5 ditambah 2 hasilnya adalah 7!"
"q_math_penjumlahan_137","penjumlahan","Berapakah jumlah semua ⚽ jika digabungkan?","emoji","⚽",4,5,"+",9,20,"","4 ditambah 5 hasilnya adalah 9!"
"q_math_penjumlahan_138","penjumlahan","Berapakah jumlah semua 🍪 jika digabungkan?","emoji","🍪",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
"q_math_penjumlahan_139","penjumlahan","Berapakah jumlah semua 🍌 jika digabungkan?","emoji","🍌",3,1,"+",4,20,"","3 ditambah 1 hasilnya adalah 4!"
"q_math_penjumlahan_140","penjumlahan","Berapakah jumlah semua 🍭 jika digabungkan?","emoji","🍭",2,6,"+",8,20,"","2 ditambah 6 hasilnya adalah 8!"
"q_math_penjumlahan_141","penjumlahan","Berapakah jumlah semua 🍕 jika digabungkan?","emoji","🍕",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_142","penjumlahan","Berapakah jumlah semua 🦁 jika digabungkan?","emoji","🦁",1,3,"+",4,20,"","1 ditambah 3 hasilnya adalah 4!"
"q_math_penjumlahan_143","penjumlahan","Berapakah jumlah semua 🍇 jika digabungkan?","emoji","🍇",2,3,"+",5,20,"","2 ditambah 3 hasilnya adalah 5!"
"q_math_penjumlahan_144","penjumlahan","Berapakah jumlah semua 🐞 jika digabungkan?","emoji","🐞",7,2,"+",9,20,"","7 ditambah 2 hasilnya adalah 9!"
"q_math_penjumlahan_145","penjumlahan","Berapakah jumlah semua 🛸 jika digabungkan?","emoji","🛸",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_146","penjumlahan","Berapakah jumlah semua 🐧 jika digabungkan?","emoji","🐧",1,3,"+",4,20,"","1 ditambah 3 hasilnya adalah 4!"
"q_math_penjumlahan_147","penjumlahan","Berapakah jumlah semua 🧸 jika digabungkan?","emoji","🧸",3,4,"+",7,20,"","3 ditambah 4 hasilnya adalah 7!"
"q_math_penjumlahan_148","penjumlahan","Berapakah jumlah semua 🐬 jika digabungkan?","emoji","🐬",2,4,"+",6,20,"","2 ditambah 4 hasilnya adalah 6!"
"q_math_penjumlahan_149","penjumlahan","Berapakah jumlah semua 🍟 jika digabungkan?","emoji","🍟",5,2,"+",7,20,"","5 ditambah 2 hasilnya adalah 7!"
"q_math_penjumlahan_150","penjumlahan","Berapakah jumlah semua 🍎 jika digabungkan?","emoji","🍎",4,3,"+",7,20,"","4 ditambah 3 hasilnya adalah 7!"
"q_math_penjumlahan_151","penjumlahan","Berapakah jumlah semua 🎈 jika digabungkan?","emoji","🎈",4,5,"+",9,20,"","4 ditambah 5 hasilnya adalah 9!"
"q_math_penjumlahan_152","penjumlahan","Berapakah jumlah semua ⭐️ jika digabungkan?","emoji","⭐️",7,2,"+",9,20,"","7 ditambah 2 hasilnya adalah 9!"
"q_math_penjumlahan_153","penjumlahan","Berapakah jumlah semua 🍩 jika digabungkan?","emoji","🍩",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_154","penjumlahan","Berapakah jumlah semua 🚗 jika digabungkan?","emoji","🚗",2,1,"+",3,20,"","2 ditambah 1 hasilnya adalah 3!"
"q_math_penjumlahan_155","penjumlahan","Berapakah jumlah semua 🐰 jika digabungkan?","emoji","🐰",4,4,"+",8,20,"","4 ditambah 4 hasilnya adalah 8!"
"q_math_penjumlahan_156","penjumlahan","Berapakah jumlah semua 🍬 jika digabungkan?","emoji","🍬",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
